personId,name,birthYear,deathYear
69300,Gene Saks,1921,
80486,Bianca Jagger,1945,
20631,Ann Hearn,1953,
3095,Gianni Russo,1943,
2150,Kevin Greutert,1965,
58260,Martin Weisz,1966,
58398,Jessica Harmon,1985,
1119,Robbie Gee,1970,
19536,Josh Duhamel,1972,
71660,Caveh Zahedi,1960,
13233,Jason Kliot,1963,
62220,Lauren Cohan,1982,
53572,Charles Malik Whitfield,1971,
78514,David Hugh Jones,1934,2008
568692,Tim Fehlbaum,,
58965,Alyson Stoner,1993,
133403,Simon Rumley,,
30351,Manuel de Blas,1941,
27198,Orso Maria Guerrini,1943,
70985,Gig Young,1913,1978
76927,Tommy Wirkola,,
130098,Lela Bliss,1896,1980
43125,Rob Paulsen,1956,
102515,Alison Carroll,1985,
11664,Zooey Deschanel,1980,
147499,Shaun Weiss,1978,
199298,Trevor St. John,1971,
30588,Joan Tewkesbury,1936,
96555,Antonio Cupo,1978,
2233,Bridget Fonda,1964,
5229,Klaus Wennemann,1940,2000
27208,Omero Antonutti,1935,
6784,Jacques Herlin,1927,
15148,Jon Amiel,1948,
85173,Go Soo,1978,
476163,Nasim Pedrad,1981,
90498,Devon Bostick,1991,
2311,Otto Sander,1941,2013
83225,Colin Egglesfield,1973,
1014932,Gabriella Wilde,1989,
61110,Fred Armisen,1966,
6918,Ry Cooder,1947,
113273,Jeremy Lovering,,
70804,Dan Schneider,1966,
67154,Jay Gillespie,1979,
67378,Travis Tedford,1988,
2220,Tony Curran,1969,
10,Bob Peterson,1961,
17580,John Vernon,1932,2005
137659,Christian Juttner,1964,
1207951,Futoshi Higashide,,
13816,May Robson,1858,1942
1290726,Bill Walters,1937,
83600,Tichina Arnold,1971,
8743,Jullan Kindahl,1885,1979
29859,Richard Briers,1934,2013
21064,Jason Gould,1966,
239020,Isaac Hempstead Wright,1999,
23647,Renée Humphrey,1975,
1329,Billy Boyd,1968,
119867,Tony Azito,1948,1995
8020,John Kahrs,,
1088579,Haifaa Al-Mansour,,
78545,Conor McMahon,,
13365,Barbora Kodetová,1970,
15197,Sarah Miles,1941,
56863,Miriam Yeung,1974,
1861,Markus Knüfken,1965,
31114,Lilia Skala,1896,1994
61969,Philip Proctor,1940,
5970,Pier Paolo Pasolini,1922,1975
76542,Roland Kickinger,1968,
930710,James Ponsoldt,,
18266,Peter Cook,1937,1995
107540,Michael Trubshawe,1905,1985
513378,Elizabeth Meriwether,1982,
1733,Nick Nolte,1941,
10517,Clyde Bruckman,1894,1955
51962,Bill Cosby,1937,
54864,Geno Silva,1948,
161908,Peter White,1937,
576537,Angel Gracia,,
238384,Alain Guiraudie,1964,
122230,Elizabeth Regen,1975,
5346,Dan Futterman,1967,
24612,Eleonora Giorgi,1953,
11851,Om Puri,1950,
4173,Anthony Hopkins,1937,
1143671,Leone Marucci,,
1088681,Perry Bhandal,,
1216735,Paul Abascal,,
75775,Tracy Brooks Swope,1953,
977271,Winifred Harris,1880,1972
18878,Rob Cohen,1949,
67717,Michel Hazanavicius,1967,
28853,Anton Rodgers,1933,2007
208113,Sarah Smith,,
936431,Shao-feng Feng,1978,
38025,Kristin Davis,1965,
554248,Vasek Simek,1928,1994
10366,Ray Aranha,1939,
3785,Jack Palance,1919,2006
28778,Shirley Knight,1936,
260967,Bill Moor,1931,2007
36218,Andrew Divoff,1955,
30315,Richard Armitage,1971,
